X,usrindex,grp1.var1,grp1.var2,grp1.var3,grp2.var1,grp2.var2,grp2.var3,grp2.var4,grp3.var1,grp3.var2,grp3.var3,grp3.var4,grp3.var5,grp3.var6,grp4.var1,grp4.var2,grp4.var3,grp5.var1,grp5.var2,grp5.var3,grp5.var4,grp6.var1,grp6.var2,grp6.var3,grp7.var1,grp7.var2,grp7.var3,grp7.var4,grp8.var1,grp8.var2,grp8.var3,grp8.var4,grp8.var5,grp8.var6,grp8.var7,grp9.var1,grp9.var2,grp9.var3,grp9.var4,grp9.var5,grp9.var6
3/1/80,1,-0.006263048,0.751243781,5,0.354855109,1.418,0.354545455,7,-2.2277,-1.4838,0.001680672,-29.33333333,35.19,0,-0.257759507,-0.106888361,535.6666667,1.018604651,46.9,-0.244280936,1,88.2975,1.4,-7.7,-0.066136114,5,0.154369227,0.850953566,0.111578266,0.226480836,1.264367816,2,429.25,0.019951822,19,2,0.993711681,15,-0.717,1.356932153,-1.443
4/1/80,1,-0.088980859,0.773861968,5,0.305232558,1.843,0.692913386,8,-3.392,-3.4492,-0.008389262,-43.33333333,35.19,0,-0.376872379,-0.140142518,461.6666667,0.706401766,40.5,-0.123650075,1,88.87,1.4,-10.4,0.043901002,4,3.025444657,0.835820896,0.231819625,0.274969916,1.522270115,2,497.9,0.017816624,16,2,0.845936174,-0.871369295,-0.367,-1.266094421,-0.613
5/1/80,1,-0.162415409,0.771641791,5,0.14673913,2.2505,0.772357724,7,-3.0187,-3.5895,-0.018425461,-56.66666667,35.19,0,-0.468701997,-0.182242991,437.6666667,0.768768769,33.4,-0.244803922,1,88.8175,1.4,-10.3,0.047852298,4,1.964098886,0.930175511,0.409077064,0.801005747,1.712431694,2,591.35,0.013301624,15,3,0.805848137,-7.096774194,0.158,-3.258122744,1.437
6/1/80,1,-0.125,0.771641791,5,0.045334507,2.693,0.613636364,6,-1.9083,-2.0019,-0.021775544,-60,83.57,0,-0.433560976,-0.183333333,463.6666667,0.648793566,29.85,-0.135231272,1,88.205,-0.7,-10.2,0.058365759,5,1.309579142,0.944928137,0.451897617,0.658469945,1.600527357,1,616.3,0.007611819,13,4,0.793271498,-12.69230769,0.493,-2.295081967,2.357
7/1/80,1,-0.097229482,0.771641791,6,0.013858813,2.713,0.187969925,5,-0.6624,-1.2219,-0.026711185,-49.33333333,83.57,1,-0.333596838,-0.197619048,552.3333333,1.223728814,32.65,-0.143945869,2,86.33,-0.7,-8.6,0.065784863,6,0.863556009,1,0.379361325,0.474620962,1.452597403,0.5,581.4,0.00088851,18,5,0.845936174,36.11111111,0.638,-3.467741935,2.177
8/1/80,0,-0.03386352,0.771641791,6,-0.02270884,2.2555,0.268907563,5,0.6281,0.5164,-0.02173913,-22.66666667,83.57,2,-0.214184969,-0.207637232,615.6666667,1.438829787,40.25,-0.064183964,3,85.765,-0.7,-7.5,0.076720042,6,-2.286913799,1,0.292441512,0.335051546,1.345454545,1.5,537,-0.00217278,36,5,0.908033328,-0.853018373,0.278,-2.236024845,1.867
9/1/80,0,0.067752101,0.771641791,6,-0.057035647,1.9855,0.127516779,5,1.4323,1.3251,-0.011744966,17.33333333,75,3,-0.137096774,-0.186440678,630.3333333,1.189845475,47.8,-0.24515758,4,85.7875,-1.6,-5.9,0.228915663,6,-2.259072912,1,0.164678499,0.253896104,1.200124301,2.5,499.7,-0.002558735,42,5,0.932400566,-0.967261905,-0.067,-1.2640801,1.007
10/1/80,0,0.226575809,0.771641791,6,-0.039717892,1.773,-0.106976744,5,1.6311,1.5472,0.005076142,54,75,4,-0.104404568,-0.176470588,605.3333333,1.451025057,52.8,-0.309972395,4,86.5825,-1.6,-5.4,0.199266159,6,-1.315543434,1,-0.061613818,0.062150404,1.031382016,3,454.25,-0.001128718,48,4,0.979562962,3.548387097,-0.152,-1.666666667,0.087
11/1/80,0,0.400870106,0.771641791,7,0.05450237,1.7805,-0.233944954,5,1.0019,1.0292,0.018771331,79.33333333,75,5,-0.036713287,-0.1525,573,1.547393365,56.85,-0.1747343,5,87.565,-1.6,-4.7,0.263214671,7,-0.5476094,1,-0.275183744,-0.017921147,1,4,418.55,0.000243199,46,4,1,-2.116402116,-0.352,-1.70263789,-1.003
12/1/80,0,0.325567137,0.771641791,7,0.165052632,2.058,-0.093896714,5,0.1133,0.4526,0.025684932,86.66666667,24.86,6,-0.003351688,-0.151133501,551.6666667,0.996108949,55.6,-0.13,5,88.7,0,-5.5,0.18837535,8,-0.135948205,0.935209547,-0.334549139,-0.049275362,1,5,410.1,0.00165973,48,4,0.977204842,-1.266447368,-0.292,-1.844484629,-1.813
