Industry,Name,Ticker,Exchange,Hillary Emails,Trump Debt,Hillary DNC,Trump Khans,Hillary Pneumonia,Trump Taxes,Trump Tape,Election,Comey Emails
Autos,Chrysler,FCAU US Equity,NASDAQ,0,0,0,0,1,0,1,1,1
Autos,Ford,F US Equity,NYSE,1,0,1,1,0,1,1,1,0
Autos,GM,GM US Equity,NYSE,1,1,1,1,0,1,1,1,1
Autos,Tesla,TSLA US Equity,NYSE,1,0,0,0,0,1,0,1,0
Construction,Aecom,ACM US Equity,NYSE,1,1,1,1,1,1,1,1,1
Construction,Cemex,CX US Equity,NYSE,1,1,1,1,1,1,1,1,1
Construction,Granite Construction,GVA US Equity,NYSE,1,1,1,1,1,1,1,1,1
Construction,Chicago Bridge & Iron,CBI US Equity,NYSE,1,1,1,1,1,1,1,1,1
Construction,Vulcan Materials,VMC US Equity,NYSE,1,1,1,1,1,1,1,1,1
Construction,Fluor,FLR US Equity,NYSE,1,1,1,1,1,1,1,1,1
Consumer Staples,Walmart,WMT US Equity,NYSE,1,1,1,1,1,1,1,1,1
Consumer Staples,Tyson,TSN US Equity,NYSE,1,1,1,1,1,0,1,1,1
Consumer Staples,Best Buy,BBY US Equity,NYSE,1,1,1,1,1,1,1,1,1
Defense,Boeing,BA US Equity,NYSE,0,1,0,0,1,0,0,1,1
Defense,Lockheed Martin,LMT US Equity,NYSE,0,1,1,1,0,1,0,1,1
Defense,Northrop Grumman,NOC US Equity,NYSE,1,1,1,1,1,1,1,1,1
Defense,Raytheon,RTN US Equity,NYSE,1,1,1,1,1,1,1,1,1
Defense,Oshkosh,OSK US Equity,NYSE,1,1,1,1,1,1,1,1,1
Defense,United Technologies Corp,UTX US Equity,NYSE,1,1,1,1,1,1,1,1,1
Defense,General Dynamics Corp.,GD US Equity,NYSE,1,1,1,1,1,1,1,1,1
Renewables,Solar City,SCTY US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Renewables,Sunrun,RUN US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Renewables,SunPower,SPWR US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Renewables,Renewable Energy Grp.,REGI US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Oil and Coal,Exxon Mobil,XOM US Equity,NYSE,1,0,0,0,1,1,1,1,0
Oil and Coal,Consol Energy,CNX US Equity,NYSE,1,1,1,1,1,1,1,1,1
Oil and Coal,SunCoke Energy,SXC US Equity,NYSE,1,1,1,1,1,1,1,1,1
Oil and Coal,Westmoreland Coal ,WLB US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Oil and Coal,Hallador Energy ,HNRG US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Oil and Coal,Cloud Peak Energy,CLD US Equity,NYSE,1,1,1,1,1,1,1,1,1
Finance,Goldman Sachs,GS US Equity,NYSE,1,0,1,0,1,1,1,1,1
Firearms,"Sturm, Ruger ",RGR US Equity,NYSE,1,1,1,1,1,1,1,1,1
Firearms,Smith & Wesson,SWHC US Equity,NASDAQ,1,1,1,1,1,0,1,1,1
Pharmaceuticals,Gilead,GILD US Equity,NYSE,1,1,1,1,1,1,1,1,1
Pharmaceuticals,Merck,MRK US Equity,NYSE,1,1,1,1,1,1,1,1,1
Pharmaceuticals,Pfizer,PFE US Equity,NYSE,0,0,1,1,1,0,1,1,1
Medical Care,HCA ,HCA US Equity,NYSE,1,1,1,1,1,1,1,1,1
Medical Care,Anthem,ANTM US Equity,NYSE,1,1,0,1,1,1,1,1,1
Medical Care,Community Health Sys.,CYH US Equity,NYSE,1,1,1,1,1,1,1,1,1
Medical Care,Aetna,AET US Equity,NYSE,1,1,0,1,1,1,1,1,1
Medical Care,UnitedHealth,UNH US Equity,NYSE,1,1,1,1,1,1,1,1,1
Medical Care,CIGNA,CI US Equity,NYSE,1,1,0,1,1,1,1,1,1
Medical Care,Humana,HUM US Equity,NYSE,1,1,0,1,1,1,1,1,1
Index,SPDR Consumer Staples,XLP US Equity,NYSE,1,1,1,1,1,1,1,1,1
Index,S&P Aerospace Index,S5AERO Index,NYSE,1,1,1,1,1,1,1,1,1
Index,SPDR Pharma ETF,XPH US Equity,NYSE,1,1,1,1,1,1,1,1,1
Index,iShares US Healthcare Providers ETF,IHF US Equity,NYSE,1,1,1,1,1,1,1,1,1
Index,S&P Global Luxury Index,SPGLGUP Index,NYSE,1,1,1,1,1,1,1,1,1
Index,SPDR Healthcare Sector ETF,XLV US Equity,NYSE,1,1,1,1,1,1,1,1,1
Index,SPDR S&P Biotech ETF,XBI US Equity,NYSE,1,1,1,1,1,1,1,1,1
Index,SPDR S&P Aerospace & Defense ETF,XAR US Equity,NYSE,1,1,1,1,1,1,1,1,1
Large Caps,Microsoft,MSFT US Equity,NYSE,1,1,0,1,1,1,1,1,0
Large Caps,Apple,AAPL US Equity,NYSE,0,0,1,1,0,1,0,1,0
Large Caps,Oracle,ORCL US Equity,NYSE,1,1,1,0,1,1,1,1,1
Large Caps,Caterpillar,CAT US Equity,NYSE,1,1,1,1,1,1,1,1,1
Large Caps,GE,GE US Equity,NYSE,1,1,1,1,1,1,1,1,1
Luxuries,Ethan Allen,ETH US Equity,NYSE,1,1,1,1,1,1,1,1,1
Luxuries,Coach,COH US Equity,NYSE,1,1,1,1,1,1,1,1,1
Luxuries,Sotheby's,BID US Equity,NYSE,1,0,1,0,1,1,1,1,1
Index,La-Z-Boy,LZB US Equity,NYSE,1,1,1,1,1,1,1,1,1
Luxuries,Movado,MOV US Equity,NYSE,1,1,1,1,1,1,1,1,1
Luxuries,Ferrari,RACE US Equity,NYSE,1,0,1,1,1,1,1,1,1
Luxuries,Tiffany's,TIF US Equity,NYSE,1,1,1,1,1,1,1,1,1
Macro,Mexican Peso,MXNUSD Curncy,NYSE,0,1,1,1,1,1,1,1,1
Macro,Treasury Futures,TYZ6 Comdty,NYSE,1,1,1,1,1,1,1,1,1
Macro,SPDR S&P Futures ETF,SPY US Equity,NYSE,0,1,1,1,1,1,1,1,1
Macro,iShares Gold Trust ETF,IAU US Equity,NYSE,0,1,1,1,1,1,1,1,1
Macro,SPDR Gold Trust ETF,GLD US Equity,NYSE ,0,1,1,1,1,1,1,1,1
Benchmark,NASDAQ Composite,CCMP Index,NASDAQ,1,1,1,1,1,1,1,1,1
Benchmark,S&P 500,SPX Index,NYSE,1,1,1,1,1,1,1,1,1
Manufacturing,US Steel,X US Equity,NYSE,0,0,0,1,0,1,1,1,1
Manufacturing,Steel Dynamics,STLD US Equity,NASDAQ,0,1,1,1,1,1,1,1,1
Manufacturing,Alcoa,AA US Equity,NYSE,0,1,1,1,1,0,1,1,1
Money Transfer,Western Union,WU US Equity,NYSE,1,1,1,1,1,1,1,1,1
Money Transfer,Moneygram International,MGI US Equity,NASDAQ,1,1,1,1,1,1,1,1,1
Private Prisons,GEO Group,GEO US Equity,NYSE,1,1,1,1,1,1,1,1,1
Private Prisons,Corrections Corp. of America,CXW US Equity,NYSE,1,1,1,1,1,1,1,1,1
Mexico,iShares Mexico ETF,EWW US Equity,NYSE,1,1,1,1,1,1,1,1,1
