Date,ACM US Equity,CX US Equity,GVA US Equity,CBI US Equity,VMC US Equity,FLR US Equity,WMT US Equity,BBY US Equity,TSN US Equity,XLP US Equity,S5CONS Index,BA US Equity,LMT US Equity,NOC US Equity,RTN US Equity,OSK US Equity,UTX US Equity,GD US Equity,S5AERO Index,PPA US Equity,XAR US Equity,ITA US Equity,DFI Index,SCTY US Equity,RUN US Equity,SPWR US Equity,REGI US Equity,XOM US Equity,CNX US Equity,SXC US Equity,WLB US Equity,HNRG US Equity,CLD US Equity,S5ENRS Index,RGR US Equity,SWHC US Equity,GILD US Equity,MRK US Equity,PFE US Equity,HCA US Equity,ANTM US Equity,CYH US Equity,AET US Equity,UNH US Equity,CI US Equity,IHF US Equity,XLV US Equity,IYH US Equity,IHE US Equity,PJP US Equity,XBI US Equity,HUM US Equity,S5HLTH Index,MSFT US Equity,AAPL US Equity,ORCL US Equity,CAT US Equity,GE US Equity,ETH US Equity,COH US Equity,BID US Equity,MOV US Equity,RACE US Equity,TIF US Equity,SPGLGUP Index,SPX Index,NDX Index,TYZ6 Comdty,SPY US Equity,IAU US Equity,MXNUSD Curncy,X US Equity,STLD US Equity,AA US Equity,LZB US Equity,WU US Equity,MGI US Equity,GEO US Equity,CXW US Equity,FCAU US Equity,F US Equity,GM US Equity,TSLA US Equity,EWW US Equity
6/1/15,33.54,8.83,35.83,54.98,88.9,55.3,72.04,32.39,41.72,47.01,500.12,135.97,184.35,156.49,99.92,49.14,113.2,135.9,725.82,35.4,56.76,119.98,3029.35,60.68,NA,30.03,12.38,81.47,27.73,15.27,26.04,7.68,5.18,570.14,52.04,14.85,110.9,57.85,33.1,82.39,163.45,45.57,118.02,116.77,143.82,138.34,73.55,155.39,173.2,73.74,79.12,212.88,867.74,45.67,127.23,42.79,81.19,26,24.34,33.81,45.24,25.88,NA,90.66,2150.46,2111.73,4521.85,NA,205.04,11.5,0.06,23.46,21.09,36.65,26.28,20.9,9.79,34.71,31.37,10.63,14.25,33.73,249.45,58.18
6/2/15,33.6,9.06,36.15,56.03,89.52,55.87,71.85,32.77,41.77,46.88,498.57,137.89,184.06,156.9,99.22,49.82,113.52,136.24,728.41,35.43,56.85,120.25,3030.04,60.61,NA,30.82,12.27,81.48,28.35,15.59,26.63,7.79,5.62,573,52.94,15.12,110.76,57.37,33.04,81.55,159.62,45.21,115.76,114.71,141.47,136.98,73.07,154.49,172.64,73.5,79.02,212.7,862.71,45.37,126.67,42.7,81.8,26.05,24.42,33.83,45.2,26.64,NA,90.9,2161.14,2109.6,4508.89,NA,204.84,11.54,0.06,25.32,21.55,37.24,26.39,21.07,9.84,34.3,31.3,10.55,14.15,33.77,248.35,58.54
6/3/15,33.9,8.86,36.68,54.95,88.47,55.93,72.2,33.05,41.27,46.85,497.96,138.43,185.14,156.81,98.66,50.05,114.66,136.32,732.5,35.67,57.38,121.14,3052.67,60.33,NA,30.97,11.94,81.3,27.74,15.41,27.92,7.85,5.54,569.26,54,15.28,111.45,57.51,32.96,81.09,159.25,44.93,115.38,115.3,140.11,136.9,73.21,154.68,173.4,73.77,79.91,211.58,863.49,45.3,126.82,42.97,81.86,26.24,24.6,34.18,45.81,27.21,NA,90.8,2185.11,2114.07,4519.86,NA,205.38,11.46,0.06,25.18,21.61,37.21,26.54,21.17,10.19,33.94,31.08,10.64,14.1,33.51,248.99,58.08
6/4/15,33.55,8.79,35.89,54.24,87.95,54.59,71.48,32.55,40.87,46.52,493.79,135.91,183.48,154.71,97.18,49.04,113.33,134.67,721.63,35.16,56.26,119.06,3000.2,58.53,NA,30.63,12.01,80.6,27.29,15.06,27.71,7.86,5.41,562.18,52.63,15.09,110.75,56.63,32.8,80.48,157.01,44.58,114.43,113.64,137.65,135.83,72.7,153.58,172.11,73.27,79.33,210.98,857.81,44.83,126.08,42.77,81.14,25.98,24.38,33.96,45.67,26.78,NA,89.77,2178.42,2095.84,4487.03,NA,203.65,11.38,0.06,25.09,21.33,36.89,26.33,20.85,9.69,33.69,30.9,10.49,13.96,33.14,245.92,57.7
6/5/15,34.29,8.89,36.49,55.25,88.45,54.46,70.43,32.55,40.46,45.85,487.3,135.47,182.67,153.9,97.98,49.65,113.2,134.9,720.97,35.23,56.24,119.14,2995.03,58.25,NA,31.37,12.2,80.66,27.01,15.03,28.23,7.76,5.38,565.88,53.62,15.34,110.78,56.17,32.65,81.28,158.34,44.57,115.3,113.53,139.46,136.4,72.67,153.63,172.98,73.49,80.68,212.34,857.4,44.61,125.39,42.81,81.69,26.01,24.32,34.12,46.24,26.89,NA,89.78,2149.8,2092.83,4477.19,NA,203.3,11.32,0.06,24.45,21.31,36.65,26.47,20.72,10.06,33.18,30.53,10.21,13.71,32.74,249.14,57.04
6/8/15,33.45,8.94,35.9,53.45,87.88,54.02,70,32.32,40.25,45.83,486.86,135.38,182.71,153.28,97.57,49.52,112.4,134.05,718.12,35.1,56.16,118.61,2981.34,56.57,NA,30.62,12.07,81.21,27.33,14.43,27.43,7.61,5.36,563.1,53.6,15.2,110.53,56.06,32.55,80.25,158.04,43.43,114.45,113.9,138.73,136.03,72.31,152.93,171.45,73.09,80.75,210.31,853.59,44.22,124.56,42.12,81.78,25.96,24.19,33.75,45.94,27.11,NA,89.13,2151.49,2079.28,4431.52,NA,202.05,11.35,0.06,24.17,20.95,36.15,26.37,20.49,9.9,32.74,30.35,10.17,13.82,32.96,256.29,57.34
6/9/15,33.62,8.98,35.75,52.58,87.42,53.92,69.86,32.1,40.67,46.05,489.2,134.86,182.69,153.83,96.44,49.69,112.52,134.38,717.37,35.04,56.05,118.33,2966.59,54.9,NA,30.01,12.25,80.95,27.7,14.42,27.06,7.64,5.23,562.82,52.34,15.16,111.55,56.03,32.58,81.32,158.73,44.33,115.67,113.97,138.46,136.15,72.29,152.85,171.1,72.89,79.55,210.45,853.88,44.14,124.19,42.09,82.33,26.05,24.21,33.62,45.86,26.56,NA,89.01,2146.73,2080.15,4427.61,NA,202.02,11.37,0.06,24.23,20.99,35.97,26.22,20.54,10.02,32.31,30.14,9.98,13.8,33.22,256,57.45
6/10/15,33.94,9.18,36.48,52.58,88.95,54.5,70.31,32.47,40.91,46.51,493.97,136.32,182.62,155.14,97.46,50.66,113.68,137.15,725.07,35.47,56.91,119.96,3011.16,55,NA,31.58,12.46,81.55,27.3,14.5,26.59,7.63,5.29,569.45,53.15,15.32,114.39,56.77,32.87,83.09,160.46,44.89,116.36,115.49,139.8,137.73,73.18,154.65,172.68,73.53,80.14,212.41,863.72,45.07,125.61,42.94,83.99,26.33,24.32,33.57,46.05,26.73,NA,90.02,2182.73,2105.2,4485.46,NA,204.44,11.47,0.06,23.93,21.06,35.92,26.54,20.76,10.07,32.38,30.2,10.25,13.94,33.53,250.7,57.94
6/11/15,33.67,9.21,36.73,52.5,88.79,54.25,70.32,32.45,40.83,46.49,493.22,137.61,184.74,157.31,98.62,50.85,114.47,137.84,730.7,35.71,57.2,120.71,3029.44,55.46,NA,32.06,12.34,81.44,26.25,14.61,26,7.61,5.1,567.19,52.79,15.38,115.8,56.53,33.01,83.62,160.07,44.85,116.37,116.74,139.16,138.39,73.68,155.7,173.47,74.21,80.73,212.13,868.15,44.9,125.33,43.27,83.7,26.22,25.06,33.42,46.04,27.06,NA,89.76,2190.6,2108.86,4488.47,NA,205.1,11.43,0.06,23.82,20.82,35.68,26.66,20.82,10.13,32.25,30.28,10.34,14.17,33.49,251.41,58.38
6/12/15,33.69,9.19,36.04,52.64,88.22,53.89,69.82,32.45,41.1,46.3,491.26,137.46,184.26,157.59,98.15,50.67,113.78,137.65,727.31,35.55,56.85,120.28,3012.77,55.18,NA,32.08,12.2,80.41,25.18,14.05,25,7.66,4.66,560.6,53.55,15.59,114.79,55.53,32.77,82.46,156.89,44.45,114.32,115.1,137.27,137.02,72.77,153.9,171.31,73.44,79.44,210.45,858.26,44.45,123.95,43.33,83.4,26.1,26.13,33.47,46.02,26.91,NA,89.02,2180.35,2094.11,4453.79,NA,203.53,11.41,0.06,24.12,20.92,35.59,26.61,20.59,9.92,32.07,30.12,10.39,14.12,33.64,250.69,58.28
6/15/15,33.12,9.04,35.74,52.18,87.12,53.5,69.34,32.38,41.16,45.97,487.68,136.97,183.24,156.51,96.78,49.17,110.88,137.62,721.37,35.34,56.66,119.47,2995.83,55.2,NA,32.78,12.32,80.13,25.07,13.28,24.65,7.81,4.48,558.88,53.75,15.77,115.28,54.81,32.61,83.83,160.55,45.28,119.39,116.4,153.39,139.28,72.85,153.96,170.98,73.07,79.74,204.62,858.55,43.97,123.7,42.72,82.71,25.93,25.37,33.4,45.7,26.88,NA,88.61,2157.05,2084.43,4432.92,NA,202.66,11.46,0.06,22.89,20.43,35.41,26.2,20.32,9.95,32.01,30.07,10.12,13.96,33.4,250.38,57.83
6/16/15,33.39,9.16,36.04,51.71,87.13,54,69.75,32.63,41.41,46.47,492.81,137.02,184.11,158.01,96.33,45.66,111.2,138.79,723.84,35.44,56.86,120.13,3021.46,56.78,NA,32.52,12.26,81.04,24.72,13.29,23.97,8.13,4.4,563.43,54.92,15.98,116.17,55.37,32.61,83.02,162.88,45.41,123.3,118.92,153.93,140.35,73.22,154.75,171.6,73.63,79.92,197.7,862.85,44.31,124.37,43.62,82.2,25.94,25.45,33.53,46.33,26.97,NA,89.1,2166.29,2096.29,4455.9,NA,203.76,11.42,0.06,22.98,20.55,35.47,26.66,20.42,9.83,31.77,30.27,10.12,13.91,33.55,253.12,58.24
6/17/15,33.56,9.29,36.29,51.95,86.81,54.04,70.11,32.27,41.71,46.72,495.49,138.07,184.3,159.36,97.17,45.23,111.33,140.02,726.72,35.56,57.04,120.46,3025.59,57.4,NA,32.47,11.95,81.09,24.83,13.81,23.05,8.11,4.61,562.62,54.76,15.78,115.98,55.57,32.55,84.12,161.23,45.83,122.2,117.15,155.36,140.02,73.28,154.93,171.92,73.76,80.89,198.98,863.84,44.45,124.07,43.89,82.83,25.99,25.98,33.67,46.3,27.1,NA,89.51,2167.72,2100.44,4468.98,NA,204.09,11.47,0.06,23.1,20.5,35.3,25.73,20.28,9.87,32.2,30.4,9.91,13.93,33.73,260.41,58.8
6/18/15,34.13,9.3,36.65,52.28,88.21,54.56,70.35,33.22,41.81,47.24,500.93,139.94,185.97,161.6,97.73,44.78,112.13,141.46,734.64,35.93,57.62,121.75,3058.87,57.78,NA,32.56,11.83,81.81,24.09,13.88,22.52,8.25,4.57,563,55.95,16.1,118.25,56.22,32.92,83.6,161.31,45.77,122.83,118.27,156.37,141.04,74.32,157.38,174.35,75.26,83.18,197.41,876.63,45.18,124.64,41.77,83.01,26.31,25.93,34.12,46.35,27.17,NA,90.44,2198.86,2121.24,4531.85,NA,206.21,11.62,0.07,22.97,20.62,35.18,26.56,20.41,10.01,32.75,30.74,10.06,14.04,34.1,261.89,59.1
